Diagnosis,Symptoms
interstitial nephritis,"[{'fever': 0.6, 'rash on torso': 0.4, 'back pain': 0.5, 'polyuria': 0.6, 'fatigue': 0.5, 'vomiting': 0.5, 'weight loss': 0.5, 'azotemia': 0.5, 'lipiduria': 0.6, 'hematuria': 0.7, 'proteinuria': 0.7, 'tubulus inflammation': 1.0}]"
irritable bowel syndrome,"[{'abdominal pain': 0.7, 'anemia': 0.7, 'diarrhea': 0.6, 'tenderness': 0.5, 'excessive flatulence': 0.5, 'swollen abdomen': 0.3, 'weight loss': 0.7, 'ibs-d confirmed': 1.0}]"
kidney stones,"[{'back pain': 0.5, 'abdominal pain': 0.6, 'painful urination': 0.7, 'hematuria': 0.7, 'fever': 0.6, 'chills': 0.6, 'vomiting': 0.5, 'cloudy urine': 0.7, 'urinary urgency': 0.7, 'frequent urination': 0.7, 'kidney stones discovered': 1.0}]"
liver contusion,"[{'abdominal injury': 1.0, 'nausea': 0.6, 'vomiting': 0.6, 'hematuria': 0.6, 'abdominal pain': 0.6, 'bruise': 0.6, 'abnormal lft': 0.6, 'abdominal guarding': 0.6, 'liver contusion': 1.0}]"
liver laceration,"[{'abdominal injury': 1.0, 'severe hemorrhage': 1.0, 'hypovolemic shock': 0.33, 'abdominal guarding': 0.7, 'blood loss': 1.0, 'open wound': 1.0, 'liver laceration': 1.0}]"
pancreas contusion,"[{'abdominal injury': 1.0, 'abdominal pain': 0.6, 'bruise': 0.6, 'blunt pancreas contusion': 1.0}]"
pancreatitis,"[{'abdominal pain': 0.7, 'fever': 0.6, 'nausea': 0.5, 'vomiting': 0.5, 'steatorrhea': 0.7, 'weight loss': 0.6, 'chills': 0.5, 'tenderness': 0.6, 'tachycardia': 0.6, 'pancreatic inflammation': 1.0}]"
penetrated pancreas laceration,"[{'abdominal injury': 1.0, 'severe hemorrhage': 1.0, 'hypovolemic shock': 0.5, 'abdominal guarding': 0.5, 'open wound': 1.0, 'pancreas laceration': 1.0}]"
penetrated spleen rupture,"[{'abdominal injury': 1.0, 'severe hemorrhage': 1.0, 'hypovolemic shock': 0.5, 'abdominal guarding': 0.7, 'blood loss': 1.0, 'open wound': 1.0, 'spleen rupture': 1.0}]"
peptic ulcer disease,"[{'bloating': 0.5, 'excessive belching': 0.3, 'vomiting': 0.5, 'weight loss': 0.5, 'nausea': 0.6, 'hyperacidity': 0.3, 'anemia': 0.7, 'hematochezia': 0.5, 'abdominal pain': 0.7, 'gastric ulcers identified': 1.0}]"
primary peritonitis,"[{'abdominal pain': 0.7, 'bloating': 0.6, 'diarrhea': 0.7, 'fever': 0.7, 'vomiting': 0.7, 'fatigue': 0.7, 'tenderness': 0.7, 'elevated crp': 0.6, 'thirst': 0.5, 'peritoneal fluid shows infection': 1.0}]"
pyelonephritis,"[{'fever': 0.7, 'dysuria': 0.6, 'nausea': 0.7, 'frequent urination': 0.7, 'malaise': 0.5, 'vomiting': 0.6, 'back pain': 0.5, 'abdominal pain': 0.7, 'kidney interstitium abscess': 1.0}]"
renal contusion,"[{'back injury': 1.0, 'pain': 0.5, 'nausea': 0.5, 'vomiting': 0.6, 'hematuria': 0.7, 'spasms': 0.3, 'blunt kidney contusion': 1.0}]"
renal laceration,"[{'back injury': 1.0, 'severe hemorrhage': 1.0, 'hypovolemic shock': 0.5, 'abdominal guarding': 0.5, 'open wound': 1.0, 'kidney laceration': 1.0}]"
spleen contusion,"[{'abdominal injury': 1.0, 'abdominal pain': 0.6, 'nausea': 0.6, 'tenderness': 0.6, 'confusion': 0.6, 'blunt spleen contusion': 1.0}]"
ulcerative colitis,"[{'abdominal pain': 0.8, 'diarrhea': 0.8, 'bloating': 0.8, 'excessive flatulence': 0.8, 'fever': 0.8, 'fatigue': 0.8, 'tenderness': 0.8, 'abdominal cramps': 0.8, 'hematochezia': 0.8, 'elevated crp': 0.8, 'anemia': 0.8, 'colon ulcers': 0.8}]"
urinary tract infection,"[{'urinary urgency': 0.7, 'dysuria': 0.6, 'frequent urination': 0.6, 'cloudy urine': 0.6, 'strong-smelling urine': 0.6, 'hematuria': 0.6, 'fever': 0.6, 'chills': 0.5, 'bladder infection': 1.0}]"
