Diagnosis,Symptoms
contact dermatitis,"[{'allergen detected': 1.0, 'itching': 0.6, 'itchy eyes': 0.6, 'red eye': 0.6, 'rash on arm': 0.3, 'rash on leg': 0.3, 'rash on neck': 0.3, 'rash on torso': 0.3, 'painful vesicular rash': 0.3, 'redness of skin': 0.2}]"
foot contusion,"[{'instep contusion': 1.0, 'foot injury': 0.8, 'warmth': 0.8, 'swelling': 0.8, 'pain': 0.8, 'bruise': 0.8, 'tenderness': 0.8, 'limited leg motion': 0.8}]"
golfers elbow,"[{'elbow tendons damaged': 1.0, 'tenderness': 0.8, 'fever': 0.8, 'finger numbness': 0.5, 'hand weakness': 0.5, 'elbow pain': 0.5, 'limited arm motion': 0.5, 'elbow stiffness': 0.4}]"
hand contusion,"[{'wrist contusion': 1.0, 'hand injury': 0.8, 'hand pain': 0.8, 'hand weakness': 0.8, 'swelling': 0.8, 'bruise': 0.8, 'tenderness': 0.8, 'elbow stiffness': 0.7}]"
hay fever,"[{'allergy discovered': 1.0, 'nasal congestion': 0.8, 'sneezing': 0.8, 'itchy eyes': 0.8, 'fatigue': 0.8, 'red eye': 0.6, 'irritable cough': 0.6, 'inflamed sinuses': 0.2}]"
influenza,"[{'influenza a detected': 1.0, 'chills': 0.8, 'fever': 0.8, 'muscle and joint pain': 0.8, 'malaise': 0.8, 'fatigue': 0.8, 'headache': 0.8, 'nasal congestion': 0.8, 'sneezing': 0.8, 'sore throat': 0.7, 'irritable cough': 0.7}]"
influenza b,"[{'influenza b detected': 1.0, 'chills': 0.9, 'fever': 0.9, 'muscle and joint pain': 0.9, 'malaise': 0.9, 'fatigue': 0.9, 'headache': 0.9, 'sore throat': 0.9, 'irritable cough': 0.9, 'nasal congestion': 0.9, 'sneezing': 0.9}]"
insomnia,"[{'insomnia revealed': 1.0, 'sleeping problems': 0.8, 'depression': 0.8, 'long reaction time': 0.8, 'fatigue': 0.8, 'irritability': 0.6, 'confusion': 0.6, 'anxiety': 0.2}]"
iron-deficiency anemia,"[{'low hematocrit': 1.0, 'weakness': 0.8, 'fatigue': 0.8, 'chest pain': 0.8, 'breathing problems': 0.7, 'headache': 0.7, 'loss of appetite': 0.6, 'dizziness': 0.6, 'pale skin': 0.4, 'crumbly nail': 0.2, 'low hemoglobin': 0.1}]"
lactose intolerance,"[{'lactose intolerance': 1.0, 'diarrhea': 0.8, 'nausea': 0.8, 'abdominal cramps': 0.8, 'vomiting': 0.6, 'excessive flatulence': 0.6}]"
laryngitis,"[{'larynx infected': 1.0, 'swallow pain': 0.9, 'fever': 0.8, 'headache': 0.8, 'hoarseness': 0.8, 'dysphagia': 0.8, 'nasal congestion': 0.8, 'swollen lymph nodes': 0.2, 'inflamed sinuses': 0.2}]"
leg contusion,"[{'calf contusion': 1.0, 'leg injury': 0.8, 'pain': 0.8, 'limited leg motion': 0.8, 'tenderness': 0.8, 'bruise': 0.8, 'swelling': 0.6, 'redness': 0.2}]"
nail fungus,"[{'fungal infection': 1.0, 'nail discoloration': 0.8, 'crumbly nail': 0.8, 'nail thickening': 0.4}]"
pharyngitis,"[{'white patches on tonsils': 1.0, 'red swollen tonsils': 0.8, 'swallow pain': 0.8, 'fever': 0.8, 'sputum cough': 0.8, 'muscle and joint pain': 0.8, 'sneezing': 0.7, 'nausea': 0.6, 'vomiting': 0.6, 'dysphagia': 0.6, 'hoarseness': 0.6, 'rash': 0.5}]"
pork tapeworm,"[{'pork tapeworm detected': 1.0, 'nausea': 0.8, 'abdominal pain': 0.8, 'fatigue': 0.8, 'weight loss': 0.8, 'hunger': 0.8, 'vitamin deficiency': 0.7, 'weakness': 0.7}]"
raynauds syndrome,"[{'raynauds findings': 1.0, 'finger numbness': 0.8, 'cyanosis': 0.8, 'hand pain': 0.8}]"
scoliosis,"[{'scoliotic findings': 1.0, 'back pain': 0.8, 'muscle weakness': 0.8, 'numbness': 0.8}]"
shingles,"[{'widespread painful rash': 1.0, 'headache': 0.8, 'fever': 0.8, 'malaise': 0.8, 'tenderness': 0.8, 'rash on arm': 0.5, 'rash on torso': 0.5, 'rash on neck': 0.2}]"
sinusitis,"[{'nasal obstruction': 1.0, 'headache': 0.8, 'fatigue': 0.8, 'fever': 0.8, 'nasal congestion': 0.8, 'sputum cough': 0.7, 'bad breath': 0.5}]"
viral tonsillitis,"[{'rsv present': 1.0, 'fever': 0.8, 'red swollen tonsils': 0.8, 'sore throat': 0.8, 'fatigue': 0.8, 'dry cough': 0.8, 'painful lymph nodes': 0.8, 'pain in the ears': 0.8, 'suppurative tonsils': 0.8, 'nasal congestion': 0.8, 'orl findings': 0.8, 'headache': 0.7, 'muscle and joint pain': 0.7}]"
