symptom,examination 1,examination 2,examination 3
b. anthracis detected,pcr testing,,
b. henselae detected,pcr testing,,
b. pertussis detected,bacteria cultivation testing,,
babesiosis detected,pcr testing,,
bacterial blepharitis,bacteria cultivation testing,,
bacterial conjunctivitis,bacteria cultivation testing,,
beef tapeworm detected,stool analysis testing,,
bellybutton pain,abdominal palpation,,
bladder infection,bacteria cultivation testing,,
bladder lining defect,biopsy testing,,
bladder stones detected,usg,,
blunt kidney contusion,ct,,
blunt pancreas contusion,usg,,
blunt pancreas laceration,usg,fast,
blunt pulmonary contusion,ct,,
blunt spleen contusion,ct,,
blunt spleen rupture,ct,fast,
bone infected,mri,,
brain arteries blocked,echo,,
brain hematomas,ct,,
brain inflammation,spinal fluid analysis testing,,
bronchial hyperreactivity,spirometry,,
bronchial infection,bacteria cultivation testing,,
calf contusion,x ray lower limb,,
carboxyhemoglobin high level,blood test testing,,
carotid arteries blocked,echo,,
celiac antibodies detected,serology testing testing,,
cerebral contusion findings,ct,,
chlorine detected,blood test testing,,
chronic fatigue syndrome,evaluation,,
clavicle fracture,ct,,
clavicle shaft fracture,ct,,
closed angle,gonioscopy,,
clotting factor low,blood test testing,,
cluster headache findings,mri,,
concussion,ct,,
constant bronchial infection,x ray torso,,
crohn's disease discovered,ct enterography,,
cystic duct obstructed,usg,,
degenerative findings,mri,,
demyelinization findings,biopsy testing,,
depiction of femur fracture,x ray lower limb,,
depiction of humerus fracture,x ray upper limb,,
depiction of tibia fracture,x ray lower limb,,
depiction of ulnar fracture,x ray upper limb,,
diffuse axonal injury,mri,,
dilated ventricle,angiography,,
duodenitis discovered,gastroscopy,,
e.coli toxin detected,bacteria cultivation testing,,
ear canal infected,ear examination,,
ebv detected,serology testing testing,,
elbow muscles damaged,mri,,
elbow tendons damaged,x ray upper limb,,
emphysema discovered,ct,,
endocarditis detected,echo,,
f. tularensis detected,bacteria cultivation testing,,
feet penetration,physical and visual examination,,
femur fracture,x ray lower limb,,
femur fragments fracture,x ray lower limb,,
fibrotic liver tissue,transient elastography,,
fibula fracture,x ray lower limb,,
finger fracture,x ray upper limb,,
flail chest,ct,,
fluid in middle ear,ear examination,,
forearm contusion,x ray upper limb,,
formate toxic level,blood test testing,,
fracture of mandible,x ray head,,
fracture of nose,x ray head,,
fungal infection,fungal cultivation testing,,
gallstones identified,usg,,
gastric ulcers identified,gastroscopy,,
gastritis discovered,gastroscopy,,
giant cells,angiography,,
giardia lamblia discovered,bacteria cultivation testing,,
granulomas eyes,ophthalmoscopy,,
granulomas heart,mri,,
granulomas lungs,x ray torso,,
guillain-barre detected,spinal fluid analysis testing,,
h. pylori detected,serology testing testing,,
hand bursae inflammed,usg,,
hand penetration,physical and visual examination,,
haptoglobin high,blood test testing,,
heart attack,heart monitoring,ecg,
heart failing,echo,,
hepatitis a positive,blood test testing,,
hepatitis b positive,blood test testing,,
high chloride level,sweat chloride test,,
high sugar level,blood test testing,,
hip joints damaged,mri,,
histoplasma detected,pcr testing,,
humerus fracture,x ray upper limb,,
humerus fragments fracture,x ray upper limb,,
hypertensive findings,echo,,
ibs-d confirmed,blood test testing,,
inflamed bilduct,mri,,
inflammed myocardium,mri,,
inflamed thyroid,biopsy testing,,
influenza a detected,serology testing testing,,
insomnia revealed,evaluation,,
instep contusion,x ray lower limb,,
intestinal fistula,barrium swallow x ray,,
intracranial hematoma,ct,,
kidney interstitium abscess,mri,,
kidney progressive damage,ct,,
kidney stones discovered,ct,,
kidney tissue damaged,mri,,
kidney tissue inflamed,biopsy testing,,
knee bursae inflammed,usg,,
knee joint damaged,mri,,
knee sprain,mri,,
lactose intolerance,blood test testing,,
larynx infected,laryngoscopy,,
lead levels high,blood test testing,,
leg penetration,physical and visual examination,,
legionella detected,pcr testing,,
liver contusion,ct,,
liver laceration,fast,usg,
low hematocrit,blood test testing,,
lung embolism,angiography,,
lung tissue findings,ct,,
lupus findings,evaluation,,
lyme disease detected,serology testing testing,,
m. tuberculosis detected,pcr testing,,
mac detected,pcr testing,,
mastoid cells infected,ct,,
median nerve compression,ct,,
metatarsal fracture,x ray lower limb,,
migraine detected,mri,,
mitral stenosis,echo,,
mitral valve prolapsed,angiography,,
muscles inflammed,mri,,
myocardial contusion,echo,echo,
myocardial scarring,echo,,
narrowed arteries,angiography,,
nasal obstruction,nasal cavity inspection,,
nasal viral infection,nasal cavity inspection,,
neck bone spurs,mri,,
neuromyelitis discovered,mri,,
no pulse present,blood pressure and pulse measurement,,
obstructed airways,spirometry,,
olecranon bursae inflammed,usg,,
open head wound,physical and visual examination,,
optic nerve atrophy,mri,,
otosclerosis discovered,ct,,
out-of-place ankle,x ray lower limb,,
out-of-place knee,x ray lower limb,,
out-of-place shoulder,x ray upper limb,,
outer ear infected,ear examination,,
p. aeruginosa,bacteria cultivation testing,,
p. meningitis,spinal fluid analysis testing,,
elastase - low level,fecal elastase test testing,,
pancreatic inflammation,ct,,
papulas and vesicles,physical and visual examination,,
parotid infected,serology testing testing,,
kidney laceration,fast,usg,
pancreas laceration,fast,usg,
penetrating pulmonary laceration,fast,usg,
spleen rupture,fast,usg,
peritoneal fluid shows infection,peritoneal fluid analysis testing,,
pneumonic lungs,x ray torso,,
polymyositis findings,emg,,
pork tapeworm detected,stool analysis testing,,
portal vein blocked,angiography,,
pseudofractures,ct,,
pulmonary damage,x ray torso,,
pulmonary hypertension detected,echo,,
r. typhi detected,serology testing testing,,
rabies detected,pcr testing,,
radius fracture,x ray upper limb,,
raynauds findings,physical and visual examination,,
renal hypertension,biopsy testing,,
retina scarring,angiography,,
retinopathy discovered,ophthalmoscopy,,
rh. fever,echo,,
rheumatoid factor,serology testing testing,,
ribs fracture,,,x ray torso
rsv present,serology testing testing,,
s-ibm findings,emg,,
s. meningitis,spinal fluid analysis testing,,
s. pyogenes present,bacteria cultivation testing,,
salmonella typhi detected,bacteria cultivation testing,,
salmonellosis confirmed,bacteria cultivation testing,,
sclera changes,gonioscopy,,
sclerotic liver tissue,transient elastography,,
scoliotic findings,x ray back,,
scratched cornea,gonioscopy,,
shifted vertebra,x ray back,,
shoulder sprain,mri,,
spatula test positive,evaluation,,
stool containing bacterias,bacteria cultivation testing,,
strep skin infection,bacteria cultivation testing,,
streptobacillus detected,serology testing testing,,
stress vertebral fracture,mri,,
superficial thrombosis,usg,,
swollen pericardium,ct,,
tinea pedis detected,fungal cultivation testing,,
tbe detected,spinal fluid analysis testing,,
thalassemia discovered,blood test testing,,
thorax contusion,x ray torso,,
thrombocytopenia detected,blood test testing,,
tibia fracture,x ray lower limb,,
tibia spiral fracture,x ray lower limb,,
toxoplasmosis detected,serology testing testing,,
traumatic aortic rupture,fast,usg,
traumatic cardiac arrest,fast,usg,
tricuspid regurgitation,echo,,
trypanosoma detected,serology testing testing,,
tsh - high level,blood test testing,,
tsh - low level,blood test testing,,
tubulus inflammation,biopsy testing,,
tympanic membrane inflammed,ear examination,,
colon ulcers,ct enterography,,
ulna fracture,x ray upper limb,,
ulna fragments fracture,x ray upper limb,,
ulnar nerve compression,emg,,
ureter stone detected,usg,,
varices in the oesophagus,gastroscopy,,
vein occlusion,angiography,,
vibrio cholerae detected,bacteria cultivation testing,,
oesophagus infection,gastroscopy,,
white patches on tonsils,oral cavity inspection,,
widespread painful rash,physical and visual examination,,
wrist contusion,x ray upper limb,,
influenza b detected,serology testing testing,,
c.botulinum detected,bacteria cultivation testing,,
tia detected,mri,,
mastadenovirus b detected,pcr testing,,
