Diagnosis,Symptoms
pcf,"[{'hyperpyrexia': 0.9, 'sore throat': 0.9, 'red eye': 0.9, 'swollen lymph nodes': 0.75, 'headache': 0.75, 'malaise': 0.75, 'weakness': 0.75, 'watery eyes': 0.75, 'itchy eyes': 0.75, 'fever': 0.75, 'mastadenovirus b detected': 1.0}]"
penetrating trauma - head,"[{'injury to the head': 1.0, 'unconsciousness': 0.5, 'hemorrhage': 1.0, 'skull basis fracture': 1.0, 'tachycardia': 1.0, 'hypotension': 1.0, 'cerebrospinal fluid leakage': 1.0, 'open head wound': 1.0}]"
pneumococcal meningitis,"[{'chest pain': 0.9, 'chills': 0.7, 'confusion': 0.5, 'headache': 0.6, 'fever': 0.7, 'hyperpyrexia': 0.3, 'weakness': 0.5, 'vomiting': 0.7, 'irritability': 0.7, 'tachycardia': 0.7, 'stiffness of the neck': 0.7, 'p. meningitis': 1.0}]"
scleritis,"[{'eye pain': 0.9, 'watery eyes': 0.2, 'blurred vision': 0.7, 'photophobia': 0.7, 'red eye': 0.7, 'sclera changes': 1.0}]"
staphylococcal meningitis,"[{'headache': 0.6, 'fever': 0.7, 'vomiting': 0.7, 'dizziness': 0.7, 'hypotension': 0.7, 'petechiae': 0.7, 'stiffness of the neck': 0.7, 's. meningitis': 1.0}]"
subdural hematoma,"[{'injury to the head': 1.0, 'headache': 0.7, 'vomiting': 0.7, 'fainting': 0.7, 'dizziness': 0.7, 'confusion': 0.7, 'slurred speech': 0.7, 'weakness': 0.7, 'intracranial hemorrhage': 1.0, 'intracranial hematoma': 1.0}]"
tetanus,"[{'tachycardia': 0.7, 'fever': 0.7, 'sweating': 0.6, 'hypertension': 0.6, 'swallow pain': 0.7, 'stiffness of the back': 0.6, 'stiffness of the joints': 0.6, 'stiffness of the neck': 0.6, 'numbness': 0.5, 'spasms': 0.5, 'spatula test positive': 1.0}]"
tia,"[{'weakness': 0.7, 'hemiparesis': 0.5, 'slurred speech': 0.5, 'headache': 0.7, 'poor balance': 0.7, 'atherosclerosis': 0.7, 'walking difficulties': 0.5, 'ldl high level': 0.7, 'tia detected': 1.0}]"
traumatic brain injury,"[{'injury to the head': 1.0, 'bruise': 0.7, 'intracranial hemorrhage': 0.5, 'skull fracture': 0.7, 'vomiting': 0.7, 'photophobia': 0.7, 'numbness': 0.3, 'dizziness': 0.7, 'amnesia about trauma': 0.7, 'slurred speech': 0.7, 'hypertension': 0.7, 'brain hematomas': 1.0}]"
uveitis,"[{'blurred vision': 0.7, 'photophobia': 0.7, 'eye pain': 0.7, 'red eye': 0.7, 'retina scarring': 1.0}]"
